# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0 0
39 0.9625 0 0
40 0.9875 0 0
41 1.0125 0 0
42 1.0375 0 0
43 1.0625 0 0
44 1.0875 0 0
45 1.1125 0 0
46 1.1375 0 0
47 1.1625 0 0
48 1.1875 0 0
49 1.2125 0 0
50 1.2375 0 0
51 1.2625 0 0
52 1.2875 0 0
53 1.3125 0 0
54 1.3375 0 0
55 1.3625 0 0
56 1.3875 0 0
57 1.4125 36.1015 4
58 1.4375 0 4
59 1.4625 0 4
60 1.4875 0 4
61 1.5125 0 4
62 1.5375 0 4
63 1.5625 0 4
64 1.5875 0 4
65 1.6125 0 4
66 1.6375 0 4
67 1.6625 0 4
68 1.6875 0 4
69 1.7125 0 4
70 1.7375 0 4
71 1.7625 0 4
72 1.7875 0 4
73 1.8125 0 4
74 1.8375 0 4
75 1.8625 0 4
76 1.8875 0 4
77 1.9125 0 4
78 1.9375 0 4
79 1.9625 0 4
80 1.9875 0 4
81 2.0125 25.3383 8
82 2.0375 0 8
83 2.0625 0 8
84 2.0875 0 8
85 2.1125 0 8
86 2.1375 0 8
87 2.1625 0 8
88 2.1875 0 8
89 2.2125 0 8
90 2.2375 0 8
91 2.2625 0 8
92 2.2875 0 8
93 2.3125 0 8
94 2.3375 0 8
95 2.3625 0 8
96 2.3875 0 8
97 2.4125 0 8
98 2.4375 0 8
99 2.4625 0 8
100 2.4875 0 8
100 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0339955 0.0025
39 0.9625 0.331125 0.0275
40 0.9875 0.774582 0.0875
41 1.0125 1.47944 0.205
42 1.0375 1.68954 0.3425
43 1.0625 2.3097 0.535
44 1.0875 1.69978 0.68
45 1.1125 1.86212 0.8425
46 1.1375 2.07335 1.0275
47 1.1625 1.97394 1.2075
48 1.1875 1.58348 1.355
49 1.2125 1.55083 1.5025
50 1.2375 1.49374 1.6475
51 1.2625 1.36319 1.7825
52 1.2875 1.63377 1.9475
53 1.3125 1.18984 2.07
54 1.3375 1.14378 2.19
55 1.3625 1.26314 2.325
56 1.3875 1.44711 2.4825
57 1.4125 0.812283 2.5725
58 1.4375 0.798156 2.6625
59 1.4625 1.17677 2.7975
60 1.4875 0.792753 2.89
61 1.5125 0.969295 3.005
62 1.5375 0.891347 3.1125
63 1.5625 0.836291 3.215
64 1.5875 1.00381 3.34
65 1.6125 0.909183 3.455
66 1.6375 0.87584 3.5675
67 1.6625 0.785987 3.67
68 1.6875 0.831002 3.78
69 1.7125 0.930535 3.905
70 1.7375 0.935489 4.0325
71 1.7625 0.813723 4.145
72 1.7875 0.838002 4.2625
73 1.8125 0.826444 4.38
74 1.8375 0.901923 4.51
75 1.8625 0.752922 4.62
76 1.8875 0.894916 4.7525
77 1.9125 1.13318 4.9225
78 1.9375 1.01987 5.0775
79 1.9625 0.828236 5.205
80 1.9875 0.865924 5.34
81 2.0125 0.791822 5.465
82 2.0375 0.985454 5.6225
83 2.0625 0.880794 5.765
84 2.0875 0.992385 5.9275
85 2.1125 1.07116 6.105
86 2.1375 0.998992 6.2725
87 2.1625 0.987443 6.44
88 2.1875 0.757615 6.57
89 2.2125 0.921913 6.73
90 2.2375 1.28196 6.955
91 2.2625 0.845193 7.105
92 2.2875 1.21214 7.3225
93 2.3125 0.923393 7.49
94 2.3375 1.13167 7.6975
95 2.3625 0.768947 7.84
96 2.3875 1.04122 8.035
97 2.4125 0.964382 8.2175
98 2.4375 0.784513 8.3675
99 2.4625 0.905973 8.5425
100 2.4875 1.02499 8.7425
200 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.0349269 0.0025
38 0.9375 0.135982 0.0125
39 0.9625 0.364238 0.04
40 0.9875 0.613211 0.0875
41 1.0125 1.13318 0.1775
42 1.0375 1.68954 0.315
43 1.0625 2.39969 0.515
44 1.0875 2.54967 0.7325
45 1.1125 2.23454 0.9275
46 1.1375 2.18543 1.1225
47 1.1625 2.05618 1.31
48 1.1875 2.17393 1.5125
49 1.2125 1.89254 1.6925
50 1.2375 1.49374 1.8375
51 1.2625 1.69136 2.005
52 1.2875 1.48524 2.155
53 1.3125 1.23841 2.2825
54 1.3375 1.31058 2.42
55 1.3625 1.07601 2.535
56 1.3875 1.24038 2.67
57 1.4125 1.21842 2.805
58 1.4375 0.975524 2.915
59 1.4625 0.828097 3.01
60 1.4875 0.599921 3.08
61 1.5125 1.20108 3.2225
62 1.5375 0.746244 3.3125
63 1.5625 0.632317 3.39
64 1.5875 0.702664 3.4775
65 1.6125 0.909183 3.5925
66 1.6375 0.836913 3.7
67 1.6625 1.0352 3.835
